title,company,location,experience,min_experience,max_experience,salary,min_salary,max_salary,description,skills,posted_duration,job_url,search_keyword
Data Analyst,LTM,Hybrid - Hyderabad,7-12 Yrs,7.0,12.0,Not Specified,,,Data AnalystJob Description Perform comprehensive data analysis within the BFS domain...,"['Power BI', 'Data Visualization', 'Data Analytics', 'SQL', 'Python', 'Analytics']",2 days ago,https://www.naukri.com/job-listings-data-analyst-ltm-hyderabad-7-to-12-years-130726000033,data analyst
Data Analyst,Innova Solutions,"Hybrid - Noida, Hyderabad, Chennai",7-12 Yrs,7.0,12.0,15-30 Lacs PA,1500000.0,3000000.0,Shift : 2pm to 11pm. Work Location : Hyderabad / Noida/Bang / ChennaiSpecialization: Mu...,"['Data Analytics', 'Data Visualization', 'Da', 'Das', 'Analytics', 'Analysis', 'Data']",1 day ago,https://www.naukri.com/job-listings-data-analyst-innova-solutions-noida-hyderabad-chennai-7-to-12-years-300626037332,data analyst
Data Analyst,Idemia Group,Noida,0-6 Yrs,0.0,6.0,Not Specified,,,Purpose This role analyzes data to build solutions in response to customers requir...,"['Biometrics', 'Analyst', 'Data Analytics', 'Prototype', 'Technology Leadership', 'Data Analyst', 'Cryptography', 'Signalling']",6 days ago,https://www.naukri.com/job-listings-data-analyst-idemia-group-noida-0-to-6-years-080726500658,data analyst
Data Analyst,Sodexo,Mumbai (All Areas)(Goregaon East),3-6 Yrs,3.0,6.0,Not Specified,,,Bachelors degree or above in commerce / cost accountant / BBA Corporate Sustainability)...,"['Excel', 'Power BI', 'Supply Chain Finance', 'Data', 'Data Analytics', 'Supply Chain', 'Supply']",1 day ago,https://www.naukri.com/job-listings-data-analyst-sodexo-mumbai-all-areas-3-to-6-years-140726000124,data analyst
Data Analyst,Kantar,Hyderabad,0-4 Yrs,0.0,4.0,Not Specified,,,"Experience using web services and languages, including AWS, EC2, S3, Redshift, DigitalO...","['SQL', 'Etl Tool', 'Power BI', 'Data Mining', 'Machine Learning', 'Data Science', 'R', 'S']",1 week ago,https://www.naukri.com/job-listings-data-analyst-kantar-imrb-hyderabad-0-to-4-years-020726915353,data analyst
Data Analyst,Hexaware Technologies,"Hybrid - Hyderabad, Bangalore Rural, Bengaluru",6-10 Yrs,6.0,10.0,Not Specified,,,"Primary Skills:- Snowflake, Data Analysis, Building ETL pipeline , Control-M, Jenkins(...","['Snowflake', 'Control-M', 'Tableau', 'Data Analytics', 'Data']",1 day ago,https://www.naukri.com/job-listings-data-analyst-hexaware-technologies-hyderabad-bangalore-rural-bengaluru-6-to-10-years-130726034190,data analyst
Data Analyst,Adani Group,Ahmedabad,2-4 Yrs,2.0,4.0,Not Specified,,,Experience with Python programming language for automating tasks or developing custom s...,"['Data Analytics', 'Power BI', 'Kpi', 'Power Automate', 'Data Visualization', 'Excel', 'Reporting']",1 week ago,https://www.naukri.com/job-listings-data-analyst-adani-group-ahmedabad-2-to-4-years-030726022431,data analyst
DATA ANALYST,Godigi Infotech,Pune,Not Specified,,,Unpaid,,,Not Specified,[],Starts in 1-3 months,https://www.naukri.com/job-listings-data-analyst-godigi-infotech-pune-0-to-1-years-130126506831,data analyst
Data Analyst,EY,Hybrid - Hyderabad,1-6 Yrs,1.0,6.0,Not Specified,,,Must have skills - Hands-on experience with SQL. Hands-on experience with Python. Azur...,"['Azure Data Factory', 'SQL', 'Python', 'Power BI', 'Artificial Intelligence', 'Data Analytics', 'Azure Databricks', 'Factory']",1 day ago,https://www.naukri.com/job-listings-data-analyst-ey-hyderabad-1-to-6-years-130726038815,data analyst
Data Analyst,Salespoint,Remote,0-3 Yrs,0.0,3.0,Not Specified,,,Requires Bachelor s in Technology Engineering + 6 months experienceProficiency in SQL a...,"['Media Marketing', 'Analytical', 'Machine Learning', 'Cloud', 'Manager Technology', 'Market Assessment', 'E-Commerce', 'Data Analyst']",1 week ago,https://www.naukri.com/job-listings-data-analyst-salespoint-pvt-ltd-remote-0-to-3-years-010726504250,data analyst
Data Analyst- New Delhi,B3intelligence,New Delhi(Okhla),1-3 Yrs,1.0,3.0,2.5-4.5 Lacs PA,250000.0,450000.0,Roles and Responsibilities . 1-3 years of experience in Excel VBA and Python developmen...,"['Vba', 'Python', 'Automation', 'Openpyxl', 'Excel', 'Reporting', 'Macros', 'Numpy']",4 days ago,https://www.naukri.com/job-listings-data-analyst-new-delhi-b3intelligence-new-delhi-1-to-3-years-100726019103,data analyst
Data Analyst,Jumpcloud,Bengaluru,3-5 Yrs,3.0,5.0,Not Specified,,,About the Role We are looking for a high-agency Data Analyst with 3 5 years of overal...,"['Business Improvement', 'Automation', 'Transcription', 'Access Management', 'Analytical', 'Data Quality', 'It Management', 'Open Source']",1 day ago,https://www.naukri.com/job-listings-data-analyst-jumpcloud-bengaluru-3-to-5-years-130726503290,data analyst
Data Analyst - Bilingual,Numerator,Vadodara,0-7 Yrs,0.0,7.0,Not Specified,,,"Afternoon Shift: 3:00 pm to 11:30 pm ISTWhile data entry experience is a plus, we will ...","['Training', 'Retail', 'Usage', 'French', 'Database', 'Data Analyst', 'Research', 'Data Entry']",1 week ago,https://www.naukri.com/job-listings-data-analyst-bilingual-numerator-vadodara-0-to-7-years-070726501916,data analyst
"Data Analyst(Alteryx, Tableau Mandatory)",Vipany Management Consulting,Hybrid - Hyderabad,2-4 Yrs,2.0,4.0,9-11 Lacs PA,900000.0,1100000.0,". Bachelors Degree or Associate s Degree in Business, Analytics, or a related disciplin...","['Alteryx', 'Tableau', 'SQL', 'Data Analytics', 'Data Visualization', 'Data Reporting', 'Analytics']",2 weeks ago,https://www.naukri.com/job-listings-data-analyst-alteryx-tableau-mandatory-vipany-global-solutions-hyderabad-2-to-4-years-010726006562,data analyst
Data Analyst,Client of Spring HR,"Mumbai, Navi Mumbai, Mumbai (All Areas)",10-15 Yrs,10.0,15.0,20-25 Lacs PA,2000000.0,2500000.0,Key responsibilities:Data Analysis & DiagnosticsMarket BenchmarkingTender IntelligenceD...,"['Solar', 'Data Analytics', 'Python', 'Market Intelligence', 'Power', 'SQL', 'Analytics']",6 days ago,https://www.naukri.com/job-listings-data-analyst-spring-hr-services-mumbai-navi-mumbai-mumbai-all-areas-10-to-15-years-080726023362,data analyst
Data Analyst,Iris Worldwide,Navi Mumbai,2-4 Yrs,2.0,4.0,Not Specified,,,Analyze complex data sets to identify trends and patterns. Develop and maintain dat...,"['Database Maintenance', 'Python', 'Macros', 'Data Analytics', 'Predictive Analytics', 'Power BI', 'Dashboards']",4 days ago,https://www.naukri.com/job-listings-data-analyst-iris-business-services-navi-mumbai-2-to-4-years-100726501349,data analyst
